"filename", "language", "JavaScript", "Markdown", "Draw.io", "JSON", "JavaScript JSX", "log", "comment", "blank", "total"
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\MapsSearchScreen.jsx", "JavaScript JSX", 0, 0, 0, 0, 71, 0, 0, 5, 76
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\ToggleSwitch.jsx", "JavaScript JSX", 0, 0, 0, 0, 64, 0, 0, 4, 68
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\ViewOfMap.jsx", "JavaScript JSX", 0, 0, 0, 0, 146, 0, 3, 10, 159
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\components\AutocompleteSearch.jsx", "JavaScript JSX", 0, 0, 0, 0, 77, 0, 13, 9, 99
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\components\GetTeamsbyStadium.jsx", "JavaScript JSX", 0, 0, 0, 0, 84, 0, 6, 16, 106
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\stadiumData.json", "JSON", 0, 0, 0, 8140, 0, 0, 0, 1, 8141
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\news\NewsContent.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 4, 3, 19
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\news\NewsFooter.jsx", "JavaScript JSX", 0, 0, 0, 0, 44, 0, 0, 4, 48
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\news\NewsHeading.jsx", "JavaScript JSX", 0, 0, 0, 0, 32, 0, 2, 4, 38
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\news\NewsList.jsx", "JavaScript JSX", 0, 0, 0, 0, 22, 0, 3, 3, 28
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\news\NewsListCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 117, 0, 0, 3, 120
"d:\Program-Files\Coding-Files\project-wboson\goalFever\constants\icons.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 2, 24
"d:\Program-Files\Coding-Files\project-wboson\goalFever\constants\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\postViaAxiosData.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 4, 24
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\useFetch.js", "JavaScript", 23, 0, 0, 0, 0, 0, 1, 3, 27
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\useFetchLineups.js", "JavaScript", 23, 0, 0, 0, 0, 0, 1, 5, 29
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\useFetchMaps.js", "JavaScript", 23, 0, 0, 0, 0, 0, 1, 4, 28
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\useFetchNews.js", "JavaScript", 23, 0, 0, 0, 0, 0, 1, 4, 28
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\useFetchStats.js", "JavaScript", 23, 0, 0, 0, 0, 0, 1, 3, 27
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\useFetchTeam.js", "JavaScript", 23, 0, 0, 0, 0, 0, 1, 3, 27
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\useFetchTeamMatches.js", "JavaScript", 23, 0, 0, 0, 0, 0, 1, 3, 27
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\useNearbyPlaces.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 6, 22
"d:\Program-Files\Coding-Files\project-wboson\goalFever\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Program-Files\Coding-Files\project-wboson\goalFever\notes.drawio", "Draw.io", 0, 0, 126, 0, 0, 0, 0, 0, 126
"d:\Program-Files\Coding-Files\project-wboson\goalFever\package.json", "JSON", 0, 0, 0, 60, 0, 0, 0, 1, 61
"d:\Program-Files\Coding-Files\project-wboson\goalFever\server\api.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 6, 30
"d:\Program-Files\Coding-Files\project-wboson\goalFever\server\index.js", "JavaScript", 36, 0, 0, 0, 0, 0, 2, 10, 48
"d:\Program-Files\Coding-Files\project-wboson\goalFever\server\package.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 1, 12
"d:\Program-Files\Coding-Files\project-wboson\goalFever\utils\index.js", "JavaScript", 45, 0, 0, 0, 0, 0, 2, 8, 55
"d:\Program-Files\Coding-Files\project-wboson\goalFever\utils\searchUtils.js", "JavaScript", 18, 0, 0, 0, 0, 0, 3, 3, 24
"d:\Program-Files\Coding-Files\project-wboson\goalFever\yarn-error.log", "log", 0, 0, 0, 0, 0, 6667, 0, 1017, 7684
"Total", "-", 1136, 9, 126, 15738, 4911, 6667, 226, 1520, 30333
