"filename", "language", "JavaScript", "JSON", "Markdown", "log", "Draw.io", "JavaScript JSX", "comment", "blank", "total"
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\useFetchStats.js", "JavaScript", 23, 0, 0, 0, 0, 0, 1, 3, 27
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\useFetchTeam.js", "JavaScript", 23, 0, 0, 0, 0, 0, 1, 3, 27
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\useFetchTeamMatches.js", "JavaScript", 23, 0, 0, 0, 0, 0, 1, 3, 27
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\useNearbyPlaces.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 6, 22
"d:\Program-Files\Coding-Files\project-wboson\goalFever\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Program-Files\Coding-Files\project-wboson\goalFever\notes.drawio", "Draw.io", 0, 0, 0, 0, 126, 0, 0, 0, 126
"d:\Program-Files\Coding-Files\project-wboson\goalFever\package.json", "JSON", 0, 60, 0, 0, 0, 0, 0, 1, 61
"d:\Program-Files\Coding-Files\project-wboson\goalFever\server\api.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 6, 30
"d:\Program-Files\Coding-Files\project-wboson\goalFever\server\index.js", "JavaScript", 36, 0, 0, 0, 0, 0, 2, 10, 48
"d:\Program-Files\Coding-Files\project-wboson\goalFever\server\package.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 1, 12
"d:\Program-Files\Coding-Files\project-wboson\goalFever\utils\index.js", "JavaScript", 45, 0, 0, 0, 0, 0, 2, 8, 55
"d:\Program-Files\Coding-Files\project-wboson\goalFever\utils\searchUtils.js", "JavaScript", 18, 0, 0, 0, 0, 0, 3, 3, 24
"d:\Program-Files\Coding-Files\project-wboson\goalFever\yarn-error.log", "log", 0, 0, 0, 6667, 0, 0, 0, 1017, 7684
"Total", "-", 901, 15738, 9, 6667, 126, 4661, 225, 1489, 29816
